,company_size,joined,location,market,pitch,raised,signal,stage,title,website
63,1-10,2013-01-01 00:00:00,Toronto,iPhone,"
App Discovery Based on Personality
",$15000,3,Seed,AppGeek,appgk.com
64,1-10,2013-06-01 00:00:00,Chicago,Small and Medium Businesses,"
Online marketing for smbs. Designs websites, manages AdWords and social media
",$10000,3,Seed,Red Cannonball,redcannonball.com
65,1-10,2013-07-01 00:00:00,Raleigh,Lifestyle,"
Online tools to drive offline mobility and help cities embrace walkability. 
",$11364,3,Seed,Walk [Your City],walkyourcity.org
66,1-10,2014-02-01 00:00:00,Special Capital Region of Jakarta,Mobile Health,"
Your healthcare destination
",$10000,3,Seed,TanyaDok,tanyadok.com
67,1-10,2013-08-01 00:00:00,Los Angeles,Education,"
Helping high school quarterbacks realize their dreams
",$10000,3,Seed,PrepQB,prepQB.com
68,1-10,2013-11-01 00:00:00,Hong Kong,Small and Medium Businesses,"
Making patent lawyers redundant with AI
",$13000,3,Seed,Ipselex,ipselex.com
69,1-10,2014-04-01 00:00:00,London,Technology,"
Lastminute.com for education
",$15000,3,Seed,Coursevine,Coursevine.org
70,1-10,2014-01-01 00:00:00,New York City,Social Search,"
social engine (facebook and google plus)
",$13000,3,Seed,Yssete,yssete.com
71,1-10,2014-01-01 00:00:00,New York City,-,"
The Worlds Virtual Incubator & Crowdfunding Network
",$10000,3,Seed,VICN.Org,realitycrowdtv.com
72,1-10,2014-03-01 00:00:00,London,Advertising,"
Disruptive Advertising platform
",$10000,3,Seed,PickmeUp,pickmeup-ltd.com
73,,2014-07-01 00:00:00,Bethlehem,College Campuses,"
Privacy and Proximity Multimedia Social Network
",$12000,3,Seed,uSnap,uSnap.us
74,1-10,2015-01-01 00:00:00,Minneapolis,University Students,"
Peer-to-Peer Textbook Rentals
",$15000,3,Seed,Borrow'd,borrowd.co
75,,2015-04-01 00:00:00,Freetown,ICT,"
Creativity and Innovative Education
",$10000,3,Seed,B-Gifted,b-gifted.org
76,1-10,2015-05-01 00:00:00,Toronto,Home Owners,"
Broker Platform for Household Waste Management
",$10000,3,Seed,Mr. Bin,mrbinapp.ca
77,1-10,2015-11-01 00:00:00,New York City,Mobile Commerce,"
Hyperlocal market place
",$15000,3,Seed,NowNear,nownear.xyz
78,11-50,2016-02-01 00:00:00,Denver,Recreation,"
Connecting referees and sports leagues
",$10000,3,Seed,iRef,irefnow.com
79,1-10,2016-07-01 00:00:00,Slovenia,Women-Focused,"
Baby Stork is helping couples, who decided to get a baby, to conceive faster.
",$12000,3,,Baby Stork,baby-stork.com
80,-,2011-08-01 00:00:00,California,Consumer Electronics,"
Weather-protected backyard TVs
",$15000,3,Seed,CINIOS,cinios.com
81,-,2012-05-01 00:00:00,Memphis,Networking,"
Your smarter social media dashboard
",$15000,3,-,Friendsignia,friendsignia.com
